,train,val,test
0,IC-EN-00001-01,IC-EN-00011-01,IC-EN-00005-01
1,IC-EN-00003-01,IC-EN-00018-01,IC-EN-00006-01
2,IC-EN-00004-01,IC-EN-00033-01,IC-EN-00008-01
3,IC-EN-00007-01,IC-EN-00043-01,IC-EN-00010-01
4,IC-EN-00009-01,IC-EN-00045-01,IC-EN-00016-01
5,IC-EN-00012-01,IC-EN-00083-01,IC-EN-00026-01
6,IC-EN-00013-01,IC-EN-00085-01,IC-EN-00030-01
7,IC-EN-00014-01,IC-EN-00099-01,IC-EN-00031-01
8,IC-EN-00017-01,IC-EN-00103-01,IC-EN-00034-01
9,IC-EN-00019-01,IC-EN-00118-01,IC-EN-00037-01
10,IC-EN-00020-01,IC-EN-00123-01,IC-EN-00047-01
11,IC-EN-00021-01,IC-EN-00124-01,IC-EN-00052-01
12,IC-EN-00022-01,IC-EN-00140-01,IC-EN-00053-01
13,IC-EN-00023-01,IC-EN-00141-01,IC-EN-00055-01
14,IC-EN-00024-01,IC-EN-00146-01,IC-EN-00056-01
15,IC-EN-00025-01,IC-EN-00148-01,IC-EN-00057-01
16,IC-EN-00027-01,IC-EN-00154-01,IC-EN-00059-01
17,IC-EN-00029-01,IC-EN-00162-01,IC-EN-00061-01
18,IC-EN-00032-01,IC-EN-00174-01,IC-EN-00068-01
19,IC-EN-00035-01,IC-EN-00180-01,IC-EN-00087-01
20,IC-EN-00036-01,IC-EN-00181-01,IC-EN-00091-01
21,IC-EN-00038-01,IC-EN-00185-01,IC-EN-00092-01
22,IC-EN-00039-01,IC-EN-00191-01,IC-EN-00098-01
23,IC-EN-00040-01,IC-EN-00196-01,IC-EN-00108-01
24,IC-EN-00041-01,IC-EN-00205-01,IC-EN-00111-01
25,IC-EN-00042-01,IC-EN-00211-01,IC-EN-00112-01
26,IC-EN-00046-01,IC-EN-00215-01,IC-EN-00113-01
27,IC-EN-00048-01,IC-EN-00216-01,IC-EN-00119-01
28,IC-EN-00049-01,IC-EN-00221-01,IC-EN-00120-01
29,IC-EN-00050-01,IC-EN-00223-01,IC-EN-00125-01
30,IC-EN-00051-01,IC-EN-00240-01,IC-EN-00129-01
31,IC-EN-00054-01,IC-EN-00242-01,IC-EN-00135-01
32,IC-EN-00058-01,IC-EN-00243-01,IC-EN-00142-01
33,IC-EN-00062-01,IC-EN-00249-01,IC-EN-00150-01
34,IC-EN-00063-01,IC-EN-00253-01,IC-EN-00152-01
35,IC-EN-00065-01,IC-EN-00260-01,IC-EN-00156-01
36,IC-EN-00069-01,IC-EN-00261-01,IC-EN-00158-01
37,IC-EN-00070-01,IC-EN-00263-01,IC-EN-00164-01
38,IC-EN-00071-01,IC-EN-00265-01,IC-EN-00165-01
39,IC-EN-00072-01,IC-EN-00266-01,IC-EN-00169-01
40,IC-EN-00073-01,IC-EN-00280-01,IC-EN-00170-01
41,IC-EN-00074-01,IC-EN-00283-01,IC-EN-00171-01
42,IC-EN-00076-01,IC-EN-00289-01,IC-EN-00176-01
43,IC-EN-00077-01,IC-EN-00293-01,IC-EN-00182-01
44,IC-EN-00079-01,IC-EN-00301-01,IC-EN-00186-01
45,IC-EN-00080-01,IC-EN-00303-01,IC-EN-00188-01
46,IC-EN-00081-01,IC-EN-00310-01,IC-EN-00189-01
47,IC-EN-00082-01,IC-EN-00311-01,IC-EN-00193-01
48,IC-EN-00084-01,IC-EN-00324-01,IC-EN-00195-01
49,IC-EN-00088-01,IC-EN-00327-01,IC-EN-00197-01
50,IC-EN-00089-01,IC-EN-00329-01,IC-EN-00199-01
51,IC-EN-00090-01,IC-EN-00332-01,IC-EN-00201-01
52,IC-EN-00093-01,IC-EN-00339-01,IC-EN-00202-01
53,IC-EN-00095-01,IC-EN-00349-01,IC-EN-00203-01
54,IC-EN-00096-01,IC-EN-00364-01,IC-EN-00208-01
55,IC-EN-00100-01,IC-EN-00366-01,IC-EN-00210-01
56,IC-EN-00101-01,IC-EN-00368-01,IC-EN-00222-01
57,IC-EN-00102-01,IC-EN-00381-01,IC-EN-00224-01
58,IC-EN-00104-01,IC-EN-00400-01,IC-EN-00227-01
59,IC-EN-00105-01,IC-EN-00403-01,IC-EN-00228-01
60,IC-EN-00106-01,IC-EN-00416-01,IC-EN-00229-01
61,IC-EN-00107-01,IC-EN-00418-01,IC-EN-00232-01
62,IC-EN-00109-01,IC-EN-00425-01,IC-EN-00233-01
63,IC-EN-00110-01,IC-EN-00440-01,IC-EN-00244-01
64,IC-EN-00115-01,IC-EN-00444-01,IC-EN-00250-01
65,IC-EN-00116-01,IC-EN-00455-01,IC-EN-00255-01
66,IC-EN-00121-01,IC-EN-00466-01,IC-EN-00257-01
67,IC-EN-00126-01,IC-EN-00468-01,IC-EN-00269-01
68,IC-EN-00127-01,IC-EN-00471-01,IC-EN-00270-01
69,IC-EN-00130-01,IC-EN-00479-01,IC-EN-00272-01
70,IC-EN-00131-01,IC-EN-00489-01,IC-EN-00273-01
71,IC-EN-00132-01,IC-EN-00490-01,IC-EN-00274-01
72,IC-EN-00133-01,IC-EN-00493-01,IC-EN-00276-01
73,IC-EN-00134-01,IC-EN-00531-01,IC-EN-00278-01
74,IC-EN-00136-01,IC-EN-00537-01,IC-EN-00285-01
75,IC-EN-00137-01,IC-EN-00541-01,IC-EN-00292-01
76,IC-EN-00138-01,IC-EN-00554-01,IC-EN-00296-01
77,IC-EN-00139-01,IC-EN-00558-01,IC-EN-00297-01
78,IC-EN-00143-01,IC-EN-00561-01,IC-EN-00300-01
79,IC-EN-00145-01,IC-EN-00565-01,IC-EN-00307-01
80,IC-EN-00149-01,IC-EN-00580-01,IC-EN-00312-01
81,IC-EN-00151-01,IC-EN-00586-01,IC-EN-00319-01
82,IC-EN-00157-01,IC-EN-00593-01,IC-EN-00323-01
83,IC-EN-00159-01,IC-EN-00596-01,IC-EN-00326-01
84,IC-EN-00160-01,IC-EN-00600-01,IC-EN-00330-01
85,IC-EN-00161-01,IC-EN-00607-01,IC-EN-00350-01
86,IC-EN-00163-01,IC-EN-00608-01,IC-EN-00351-01
87,IC-EN-00166-01,IC-EN-00615-01,IC-EN-00352-01
88,IC-EN-00167-01,IC-EN-00616-01,IC-EN-00353-01
89,IC-EN-00172-01,IC-EN-00620-01,IC-EN-00361-01
90,IC-EN-00173-01,IC-EN-00639-01,IC-EN-00367-01
91,IC-EN-00175-01,IC-EN-00643-01,IC-EN-00369-01
92,IC-EN-00177-01,IC-EN-00664-01,IC-EN-00375-01
93,IC-EN-00178-01,IC-EN-00667-01,IC-EN-00376-01
94,IC-EN-00179-01,IC-EN-00675-01,IC-EN-00379-01
95,IC-EN-00183-01,IC-EN-00677-01,IC-EN-00384-01
96,IC-EN-00184-01,IC-EN-00688-01,IC-EN-00389-01
97,IC-EN-00187-01,IC-EN-00694-01,IC-EN-00390-01
98,IC-EN-00190-01,IC-EN-00699-01,IC-EN-00394-01
99,IC-EN-00192-01,IC-EN-00701-01,IC-EN-00397-01
100,IC-EN-00198-01,IC-EN-00718-01,IC-EN-00399-01
101,IC-EN-00200-01,IC-EN-00719-01,IC-EN-00405-01
102,IC-EN-00204-01,IC-EN-00722-01,IC-EN-00407-01
103,IC-EN-00207-01,IC-EN-00726-01,IC-EN-00408-01
104,IC-EN-00209-01,IC-EN-00732-01,IC-EN-00412-01
105,IC-EN-00212-01,IC-EN-00735-01,IC-EN-00414-01
106,IC-EN-00214-01,IC-EN-00740-01,IC-EN-00417-01
107,IC-EN-00217-01,IC-EN-00750-01,IC-EN-00421-01
108,IC-EN-00218-01,IC-EN-00763-01,IC-EN-00423-01
109,IC-EN-00219-01,IC-EN-00768-01,IC-EN-00429-01
110,IC-EN-00226-01,IC-EN-00788-01,IC-EN-00431-01
111,IC-EN-00230-01,IC-EN-00795-01,IC-EN-00432-01
112,IC-EN-00231-01,IC-EN-00804-01,IC-EN-00437-01
113,IC-EN-00235-01,IC-EN-00807-01,IC-EN-00441-01
114,IC-EN-00236-01,IC-EN-00809-01,IC-EN-00443-01
115,IC-EN-00237-01,IC-EN-00812-01,IC-EN-00446-01
116,IC-EN-00238-01,IC-EN-00814-01,IC-EN-00450-01
117,IC-EN-00241-01,IC-EN-00821-01,IC-EN-00453-01
