,train,val,test
0,IC-EN-02528-01,IC-EN-02541-01,IC-EN-00290-01
1,IC-EN-02529-01,IC-EN-02547-01,IC-EN-00302-01
2,IC-EN-02531-01,IC-EN-02568-01,IC-EN-00335-01
3,IC-EN-02532-01,IC-EN-02574-01,IC-EN-01121-01
4,IC-EN-02534-01,IC-EN-02591-01,IC-EN-01124-01
5,IC-EN-02536-01,IC-EN-02595-01,IC-EN-01127-01
6,IC-EN-02537-01,IC-EN-02597-01,IC-EN-01137-01
7,IC-EN-02538-01,IC-EN-02598-01,IC-EN-01374-01
8,IC-EN-02539-01,IC-EN-00279-01,IC-EN-01383-01
9,IC-EN-02542-01,IC-EN-00294-01,IC-EN-01394-01
10,IC-EN-02543-01,IC-EN-00295-01,IC-EN-00620-01
11,IC-EN-02544-01,IC-EN-00327-01,IC-EN-00649-01
12,IC-EN-02545-01,IC-EN-02368-01,IC-EN-00791-01
13,IC-EN-02546-01,IC-EN-02373-01,IC-EN-00395-01
14,IC-EN-02548-01,IC-EN-02378-01,IC-EN-00396-01
15,IC-EN-02549-01,IC-EN-02386-01,IC-EN-00409-01
16,IC-EN-02550-01,IC-EN-02388-01,IC-EN-01554-01
17,IC-EN-02552-01,IC-EN-02401-01,IC-EN-01559-01
18,IC-EN-02554-01,IC-EN-02402-01,IC-EN-01567-01
19,IC-EN-02555-01,IC-EN-02408-01,IC-EN-01618-01
20,IC-EN-02556-01,IC-EN-02425-01,IC-EN-01637-01
21,IC-EN-02559-01,IC-EN-02426-01,IC-EN-00077-01
22,IC-EN-02560-01,IC-EN-02427-01,IC-EN-00102-01
23,IC-EN-02561-01,IC-EN-01071-01,IC-EN-01310-01
24,IC-EN-02563-01,IC-EN-01077-01,IC-EN-02048-01
25,IC-EN-02565-01,IC-EN-01087-01,IC-EN-02060-01
26,IC-EN-02566-01,IC-EN-01098-01,IC-EN-02072-01
27,IC-EN-02570-01,IC-EN-01104-01,IC-EN-01041-01
28,IC-EN-02572-01,IC-EN-01105-01,IC-EN-01046-01
29,IC-EN-02577-01,IC-EN-01110-01,IC-EN-01062-01
30,IC-EN-02578-01,IC-EN-01134-01,IC-EN-00852-01
31,IC-EN-02579-01,IC-EN-01150-01,IC-EN-00869-01
32,IC-EN-02580-01,IC-EN-01329-01,IC-EN-00878-01
33,IC-EN-02582-01,IC-EN-01343-01,IC-EN-01403-01
34,IC-EN-02584-01,IC-EN-01352-01,IC-EN-01443-01
35,IC-EN-02585-01,IC-EN-01358-01,IC-EN-01468-01
36,IC-EN-02588-01,IC-EN-01360-01,IC-EN-02290-01
37,IC-EN-02589-01,IC-EN-01372-01,IC-EN-02300-01
38,IC-EN-02590-01,IC-EN-01384-01,IC-EN-02302-01
39,IC-EN-02593-01,IC-EN-01386-01,IC-EN-02306-01
40,IC-EN-02594-01,IC-EN-01393-01,IC-EN-02309-01
41,IC-EN-02596-01,IC-EN-00593-01,IC-EN-02315-01
42,IC-EN-00275-01,IC-EN-00596-01,IC-EN-02338-01
43,IC-EN-00277-01,IC-EN-00597-01,IC-EN-02364-01
44,IC-EN-00280-01,IC-EN-00601-01,IC-EN-02617-01
45,IC-EN-00281-01,IC-EN-00603-01,IC-EN-02646-01
46,IC-EN-00283-01,IC-EN-00607-01,IC-EN-01481-01
47,IC-EN-00284-01,IC-EN-00611-01,IC-EN-01738-01
48,IC-EN-00286-01,IC-EN-00615-01,IC-EN-01758-01
49,IC-EN-00287-01,IC-EN-00626-01,IC-EN-01771-01
50,IC-EN-00288-01,IC-EN-00639-01,IC-EN-01778-01
51,IC-EN-00289-01,IC-EN-00647-01,IC-EN-01795-01
52,IC-EN-00291-01,IC-EN-00648-01,IC-EN-00503-01
53,IC-EN-00293-01,IC-EN-00653-01,IC-EN-00556-01
54,IC-EN-00299-01,IC-EN-00656-01,IC-EN-00968-01
55,IC-EN-00301-01,IC-EN-00667-01,IC-EN-00972-01
56,IC-EN-00303-01,IC-EN-02683-01,IC-EN-00726-01
57,IC-EN-00305-01,IC-EN-02692-01,IC-EN-00727-01
58,IC-EN-00308-01,IC-EN-02698-01,IC-EN-00738-01
59,IC-EN-00309-01,IC-EN-02702-01,IC-EN-01639-01
60,IC-EN-00310-01,IC-EN-02717-01,IC-EN-02796-01
61,IC-EN-00311-01,IC-EN-02721-01,IC-EN-02799-01
62,IC-EN-00313-01,IC-EN-02742-01,IC-EN-02826-01
63,IC-EN-00314-01,IC-EN-02753-01,IC-EN-00011-01
64,IC-EN-00315-01,IC-EN-00762-01,IC-EN-02136-01
65,IC-EN-00316-01,IC-EN-00782-01,IC-EN-02137-01
66,IC-EN-00317-01,IC-EN-00783-01,IC-EN-01849-01
67,IC-EN-00320-01,IC-EN-00792-01,IC-EN-02192-01
68,IC-EN-00321-01,IC-EN-00801-01,IC-EN-02274-01
69,IC-EN-00322-01,IC-EN-00802-01,IC-EN-02284-01
70,IC-EN-00324-01,IC-EN-00820-01,IC-EN-00465-01
71,IC-EN-00325-01,IC-EN-00346-01,IC-EN-00490-01
